rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
32,64,2,1,16,32,2,0.003679,0.0112911
32,128,1,0,2,64,0,0.00520069,0.00951444
32,128,1,0,4,64,0,0.00422672,0.007376
32,128,1,0,8,64,0,0.00377615,0.00624331
32,128,1,0,16,64,0,0.00354997,0.00587544
32,128,1,0,1,32,0,0.00632256,0.0110296
32,128,1,0,2,32,0,0.00636087,0.0108378
32,128,1,0,4,32,0,0.00539228,0.00906897
32,128,1,0,8,32,0,0.00491482,0.00821213
32,128,1,0,16,32,0,0.00473559,0.00785856
32,128,1,0,2,64,1,0.00518844,0.00946674
32,128,1,0,4,64,1,0.00422759,0.00732987
32,128,1,0,8,64,1,0.00377931,0.00622541
32,128,1,0,16,64,1,0.00355056,0.00586856
32,128,1,0,16,32,1,0.00473385,0.00785513
32,128,1,0,8,32,1,0.00491385,0.00820641
32,128,1,0,4,32,1,0.00540156,0.00908272
32,128,1,0,2,32,1,0.00637274,0.0108967
32,128,1,0,1,32,1,0.00632759,0.0109803
32,128,1,0,2,64,2,0.00520172,0.00940672
32,128,1,0,4,64,2,0.00423031,0.00738613
32,128,1,0,8,64,2,0.00378044,0.006251
32,128,1,0,16,64,2,0.00355087,0.00586841
32,128,1,0,1,32,2,0.00632685,0.010943
32,128,1,0,2,32,2,0.00636172,0.0107929
32,128,1,0,4,32,2,0.00539572,0.00907556
32,128,1,0,8,32,2,0.00492141,0.00819772
32,128,1,0,16,32,2,0.00473072,0.00785585
32,128,1,1,2,64,0,0.00520872,0.0167094
32,128,1,1,4,64,0,0.004223,0.0135368
32,128,1,1,8,64,0,0.00377672,0.0119471
32,128,1,1,16,64,0,0.003549,0.0113018
32,128,1,1,1,32,0,0.00633056,0.0190866
32,128,1,1,2,32,0,0.00637428,0.0188764
32,128,1,1,4,32,0,0.005406,0.0159833
32,128,1,1,8,32,0,0.00493244,0.0146134
32,128,1,1,16,32,0,0.00472813,0.0140793
32,128,1,1,2,64,1,0.00518415,0.0165116
32,128,1,1,4,64,1,0.00422141,0.0134853
32,128,1,1,8,64,1,0.00377428,0.0119261
32,128,1,1,16,64,1,0.00354687,0.0113019
32,128,1,1,16,32,1,0.00472415,0.0140581
32,128,1,1,8,32,1,0.00491431,0.0145853
32,128,1,1,4,32,1,0.00540618,0.0159432
32,128,1,1,2,32,1,0.00636144,0.0187833
32,128,1,1,1,32,1,0.00631213,0.0188858
32,128,1,1,2,64,2,0.005192,0.0164923
32,128,1,1,4,64,2,0.00422644,0.0135496
32,128,1,1,8,64,2,0.00377813,0.0119321
32,128,1,1,16,64,2,0.00355026,0.0113051
32,128,1,1,1,32,2,0.00634144,0.018926
32,128,1,1,2,32,2,0.00638426,0.0188912
32,128,1,1,4,32,2,0.00540772,0.015985
32,128,1,1,8,32,2,0.00493085,0.0146056
32,128,1,1,16,32,2,0.00472503,0.0140672
32,128,2,0,2,64,0,0.00528428,0.00951972
32,128,2,0,4,64,0,0.00428285,0.00735131
32,128,2,0,8,64,0,0.00384626,0.00627959
32,128,2,0,16,64,0,0.00361944,0.00588769
32,128,2,0,1,32,0,0.00640344,0.0110218
32,128,2,0,2,32,0,0.00647631,0.0108413
32,128,2,0,4,32,0,0.00557928,0.009098
32,128,2,0,8,32,0,0.00509559,0.00822087
32,128,2,0,16,32,0,0.00490515,0.00786744
32,128,2,0,2,64,1,0.00528144,0.00944969
32,128,2,0,4,64,1,0.004286,0.00735756
32,128,2,0,8,64,1,0.00384685,0.00624428
32,128,2,0,16,64,1,0.00361841,0.00588913
32,128,2,0,16,32,1,0.00490913,0.00786785
32,128,2,0,8,32,1,0.00508785,0.00823415
32,128,2,0,4,32,1,0.005575,0.00907769
32,128,2,0,2,32,1,0.00648174,0.010938
32,128,2,0,1,32,1,0.00641185,0.011042
32,128,2,0,2,64,2,0.00527944,0.00948356
32,128,2,0,4,64,2,0.00428572,0.00741744
32,128,2,0,8,64,2,0.00384272,0.00626887
32,128,2,0,16,64,2,0.00361903,0.00588897
32,128,2,0,1,32,2,0.006416,0.0110743
32,128,2,0,2,32,2,0.00648287,0.0109231
32,128,2,0,4,32,2,0.00558056,0.00911944
32,128,2,0,8,32,2,0.00509615,0.00820541
32,128,2,0,16,32,2,0.00490631,0.00786328
32,128,2,1,2,64,0,0.00528915,0.0167384
32,128,2,1,4,64,0,0.004287,0.0135726
32,128,2,1,8,64,0,0.00384513,0.0119838
32,128,2,1,16,64,0,0.00361685,0.0113356
32,128,2,1,1,32,0,0.00643,0.019155
32,128,2,1,2,32,0,0.00649615,0.0189033
32,128,2,1,4,32,0,0.00557813,0.016035
32,128,2,1,8,32,0,0.00509656,0.0146718
32,128,2,1,16,32,0,0.00489744,0.0141326
32,128,2,1,2,64,1,0.00529444,0.0167028
32,128,2,1,4,64,1,0.00429472,0.0135458
32,128,2,1,8,64,1,0.00384356,0.011972
32,128,2,1,16,64,1,0.00361572,0.0113373
32,128,2,1,16,32,1,0.00489585,0.0141454
32,128,2,1,8,32,1,0.00508715,0.0146576
32,128,2,1,4,32,1,0.00556756,0.0160058
32,128,2,1,2,32,1,0.00648544,0.0187184
32,128,2,1,1,32,1,0.00641013,0.0190506
32,128,2,1,2,64,2,0.00527956,0.0166027
32,128,2,1,4,64,2,0.00428572,0.0135263
32,128,2,1,8,64,2,0.00384559,0.0119723
32,128,2,1,16,64,2,0.00361772,0.011335
32,128,2,1,1,32,2,0.006431,0.0191447
32,128,2,1,2,32,2,0.00650315,0.0189513
32,128,2,1,4,32,2,0.005581,0.0160353
32,128,2,1,8,32,2,0.00509628,0.0146616
32,128,2,1,16,32,2,0.00489472,0.014133
32,256,1,0,2,64,0,0.00624856,0.0109266
32,256,1,0,4,64,0,0.00529344,0.00911887
32,256,1,0,8,64,0,0.004854,0.00822815
32,256,1,0,16,64,0,0.004627,0.00789813
32,256,1,0,1,32,0,0.00854813,0.014997
32,256,1,0,2,32,0,0.008623,0.015038
32,256,1,0,4,32,0,0.00759528,0.0131409
32,256,1,0,8,32,0,0.00715169,0.0123058
32,256,1,0,16,32,0,0.00697331,0.0119797
32,256,1,0,2,64,1,0.00624013,0.010916
32,256,1,0,4,64,1,0.00528915,0.00907872
32,256,1,0,8,64,1,0.00484559,0.00823528
32,256,1,0,16,64,1,0.00462044,0.007896
32,256,1,0,16,32,1,0.00697344,0.0119784
32,256,1,0,8,32,1,0.00715,0.0123124
32,256,1,0,4,32,1,0.00760972,0.0131926
32,256,1,0,2,32,1,0.00863387,0.0150354
32,256,1,0,1,32,1,0.00855715,0.0149627
32,256,1,0,2,64,2,0.00625813,0.0108382
32,256,1,0,4,64,2,0.005291,0.00909915
32,256,1,0,8,64,2,0.00485444,0.00823687
32,256,1,0,16,64,2,0.00461959,0.00789528
32,256,1,0,1,32,2,0.00855172,0.014984
32,256,1,0,2,32,2,0.00862741,0.0149558
32,256,1,0,4,32,2,0.00759685,0.0131382
32,256,1,0,8,32,2,0.00715172,0.0122997
32,256,1,0,16,32,2,0.00697128,0.0119854
32,256,1,1,2,64,0,0.00625372,0.0189013
32,256,1,1,4,64,0,0.00530244,0.0159958
32,256,1,1,8,64,0,0.00486031,0.0146754
32,256,1,1,16,64,0,0.00462872,0.0140743
32,256,1,1,1,32,0,0.00853685,0.0251016
32,256,1,1,2,32,0,0.00863287,0.0251714
32,256,1,1,4,32,0,0.00761456,0.0221162
32,256,1,1,8,32,0,0.00715444,0.0208811
32,256,1,1,16,32,0,0.00696959,0.0203232
32,256,1,1,2,64,1,0.00622241,0.0189616
32,256,1,1,4,64,1,0.00528159,0.0159956
32,256,1,1,8,64,1,0.00485215,0.0146758
32,256,1,1,16,64,1,0.00462526,0.0140763
32,256,1,1,16,32,1,0.00698387,0.0203159
32,256,1,1,8,32,1,0.00716028,0.0208507
32,256,1,1,4,32,1,0.00761331,0.0221331
32,256,1,1,2,32,1,0.00861156,0.025183
32,256,1,1,1,32,1,0.00857841,0.0251151
32,256,1,1,2,64,2,0.00624344,0.0189737
32,256,1,1,4,64,2,0.00530518,0.016023
32,256,1,1,8,64,2,0.004856,0.0146791
32,256,1,1,16,64,2,0.00462515,0.0140646
32,256,1,1,1,32,2,0.00854115,0.0252653
32,256,1,1,2,32,2,0.008621,0.0252307
32,256,1,1,4,32,2,0.00762172,0.0221547
32,256,1,1,8,32,2,0.00715272,0.0208383
32,256,1,1,16,32,2,0.00697556,0.0202954
32,256,2,0,2,64,0,0.00639415,0.0109706
32,256,2,0,4,64,0,0.00542728,0.00912444
32,256,2,0,8,64,0,0.00499028,0.008256
32,256,2,0,16,64,0,0.00476015,0.00792374
32,256,2,0,1,32,0,0.00875769,0.0150406
32,256,2,0,2,32,0,0.00883528,0.0150104
32,256,2,0,4,32,0,0.00784341,0.0131953
32,256,2,0,8,32,0,0.00738326,0.0123557
32,256,2,0,16,32,0,0.00719528,0.0120486
32,256,2,0,2,64,1,0.006379,0.0108783
32,256,2,0,4,64,1,0.00542456,0.00913241
32,256,2,0,8,64,1,0.00499641,0.00827287
32,256,2,0,16,64,1,0.00475687,0.007923
32,256,2,0,16,32,1,0.00719541,0.012046
32,256,2,0,8,32,1,0.00738041,0.0123703
32,256,2,0,4,32,1,0.00782413,0.0131802
32,256,2,0,2,32,1,0.00883928,0.0150861
32,256,2,0,1,32,1,0.00872241,0.0150288
32,256,2,0,2,64,2,0.006396,0.0109223
32,256,2,0,4,64,2,0.005428,0.00914485
32,256,2,0,8,64,2,0.00498956,0.008274
32,256,2,0,16,64,2,0.004759,0.00792144
32,256,2,0,1,32,2,0.00875772,0.0150347
32,256,2,0,2,32,2,0.00883772,0.0150285
32,256,2,0,4,32,2,0.00784428,0.0131904
32,256,2,0,8,32,2,0.00738141,0.012348
32,256,2,0,16,32,2,0.00719187,0.0120526
32,256,2,1,2,64,0,0.00639728,0.0189531
32,256,2,1,4,64,0,0.00542515,0.0160794
32,256,2,1,8,64,0,0.00499128,0.0147317
32,256,2,1,16,64,0,0.00476556,0.0141504
32,256,2,1,1,32,0,0.00872082,0.0251912
32,256,2,1,2,32,0,0.00884772,0.02533
32,256,2,1,4,32,0,0.00783915,0.0223158
32,256,2,1,8,32,0,0.00738,0.0209733
32,256,2,1,16,32,0,0.00720756,0.0204511
32,256,2,1,2,64,1,0.00640215,0.0191084
32,256,2,1,4,64,1,0.00542728,0.0160629
32,256,2,1,8,64,1,0.00499041,0.014759
32,256,2,1,16,64,1,0.00476815,0.0141457
32,256,2,1,16,32,1,0.00720869,0.0204532
32,256,2,1,8,32,1,0.00737587,0.0209983
32,256,2,1,4,32,1,0.00782687,0.0222544
32,256,2,1,2,32,1,0.008822,0.0253624
