rows,dim,dtype,format,warps,trial,had_ms,fused_ms
32,128,2,1,4,2,0.00351744,0.0133168
32,128,2,1,8,2,0.00333556,0.0128004
32,128,2,1,16,2,0.00325959,0.0125693
32,256,1,0,1,0,0.00496,0.0109774
32,256,1,0,2,0,0.00498128,0.0111146
32,256,1,0,4,0,0.00398456,0.00927472
32,256,1,0,8,0,0.00355685,0.00815287
32,256,1,0,16,0,0.00334356,0.00782626
32,256,1,0,16,1,0.00334372,0.00782059
32,256,1,0,8,1,0.00355841,0.008176
32,256,1,0,4,1,0.00398387,0.00930159
32,256,1,0,2,1,0.00497087,0.0112063
32,256,1,0,1,1,0.00496844,0.0111646
32,256,1,0,1,2,0.00497215,0.0111912
32,256,1,0,2,2,0.00496641,0.0112603
32,256,1,0,4,2,0.00398369,0.00928244
32,256,1,0,8,2,0.003556,0.00817287
32,256,1,0,16,2,0.00334356,0.00782341
32,256,1,1,1,0,0.004958,0.0178521
32,256,1,1,2,0,0.004956,0.0178524
32,256,1,1,4,0,0.00398315,0.0149297
32,256,1,1,8,0,0.00355872,0.0133409
32,256,1,1,16,0,0.00334259,0.0127474
32,256,1,1,16,1,0.00334313,0.0127433
32,256,1,1,8,1,0.00356031,0.0133568
32,256,1,1,4,1,0.00398559,0.0148832
32,256,1,1,2,1,0.00497159,0.0177062
32,256,1,1,1,1,0.00495913,0.0179022
32,256,1,1,1,2,0.00496628,0.0179017
32,256,1,1,2,2,0.00497303,0.0177756
32,256,1,1,4,2,0.00398556,0.0149176
32,256,1,1,8,2,0.00355715,0.0133511
32,256,1,1,16,2,0.00334441,0.0127439
32,256,2,0,1,0,0.00499044,0.0110504
32,256,2,0,2,0,0.00499715,0.0111624
32,256,2,0,4,0,0.00402528,0.00930844
32,256,2,0,8,0,0.00358041,0.00820531
32,256,2,0,16,0,0.00337474,0.00784287
32,256,2,0,16,1,0.00337656,0.00783774
32,256,2,0,8,1,0.00358256,0.00819572
32,256,2,0,4,1,0.00402472,0.009295
32,256,2,0,2,1,0.00500659,0.0113536
32,256,2,0,1,1,0.00500044,0.0112624
32,256,2,0,1,2,0.00500072,0.01122
32,256,2,0,2,2,0.00500846,0.0113091
32,256,2,0,4,2,0.00402828,0.0093
32,256,2,0,8,2,0.00358644,0.00817944
32,256,2,0,16,2,0.00337456,0.00783344
32,256,2,1,1,0,0.00501044,0.0179072
32,256,2,1,2,0,0.005012,0.0178286
32,256,2,1,4,0,0.00402613,0.0149937
32,256,2,1,8,0,0.003584,0.0134143
32,256,2,1,16,0,0.00337685,0.0128001
32,256,2,1,16,1,0.00337572,0.0127971
32,256,2,1,8,1,0.003581,0.0134224
32,256,2,1,4,1,0.00402528,0.0150104
32,256,2,1,2,1,0.00499913,0.0178341
32,256,2,1,1,1,0.00499659,0.0179027
32,256,2,1,1,2,0.00499,0.0177896
32,256,2,1,2,2,0.00500728,0.017779
32,256,2,1,4,2,0.004017,0.0149513
32,256,2,1,8,2,0.00357885,0.0134203
32,256,2,1,16,2,0.003373,0.0128006
32,512,1,0,1,0,0.00574513,0.0139718
32,512,1,0,2,0,0.005753,0.0141759
32,512,1,0,4,0,0.00479328,0.0122364
32,512,1,0,8,0,0.004359,0.0111572
32,512,1,0,16,0,0.00419144,0.0108364
32,512,1,0,16,1,0.004189,0.01083
32,512,1,0,8,1,0.00436069,0.0111619
32,512,1,0,4,1,0.00479287,0.0122173
32,512,1,0,2,1,0.00574328,0.0140464
32,512,1,0,1,1,0.00574026,0.0139562
32,512,1,0,1,2,0.00574028,0.01394
32,512,1,0,2,2,0.00573928,0.0140707
32,512,1,0,4,2,0.00477559,0.0122314
32,512,1,0,8,2,0.00435872,0.0111538
32,512,1,0,16,2,0.00418769,0.0108363
32,512,1,1,1,0,0.00574956,0.0214661
32,512,1,1,2,0,0.00573731,0.0215612
32,512,1,1,4,0,0.00479785,0.0185868
32,512,1,1,8,0,0.00435844,0.0170311
32,512,1,1,16,0,0.00419372,0.0164646
32,512,1,1,16,1,0.004192,0.0164616
32,512,1,1,8,1,0.00435744,0.0169994
32,512,1,1,4,1,0.00478744,0.0186082
32,512,1,1,2,1,0.00575615,0.0215523
32,512,1,1,1,1,0.00574628,0.0213244
32,512,1,1,1,2,0.00574544,0.0212426
32,512,1,1,2,2,0.00574659,0.0215203
32,512,1,1,4,2,0.00479272,0.0185688
32,512,1,1,8,2,0.00436144,0.0170322
32,512,1,1,16,2,0.004197,0.016459
32,512,2,0,1,0,0.00581169,0.0140377
32,512,2,0,2,0,0.00580703,0.0140471
32,512,2,0,4,0,0.00485041,0.0122487
32,512,2,0,8,0,0.00443056,0.0111429
32,512,2,0,16,0,0.00425569,0.0108356
32,512,2,0,16,1,0.00425585,0.010822
32,512,2,0,8,1,0.00442985,0.0111309
32,512,2,0,4,1,0.00485228,0.0122503
32,512,2,0,2,1,0.00582544,0.0140247
32,512,2,0,1,1,0.00583369,0.0140312
32,512,2,0,1,2,0.005832,0.0140206
32,512,2,0,2,2,0.00583459,0.0141033
32,512,2,0,4,2,0.00484856,0.0122558
32,512,2,0,8,2,0.00443426,0.0111432
32,512,2,0,16,2,0.004253,0.0108271
32,512,2,1,1,0,0.00581185,0.0216674
32,512,2,1,2,0,0.00581444,0.0216533
32,512,2,1,4,0,0.00484731,0.0187483
32,512,2,1,8,0,0.00442985,0.0171846
32,512,2,1,16,0,0.00425656,0.0166296
32,512,2,1,16,1,0.00425256,0.0166133
32,512,2,1,8,1,0.00442972,0.017198
32,512,2,1,4,1,0.00485159,0.0187101
32,512,2,1,2,1,0.00580528,0.0215866
32,512,2,1,1,1,0.00581515,0.0217736
32,512,2,1,1,2,0.00581241,0.0216749
32,512,2,1,2,2,0.00580859,0.0215413
32,512,2,1,4,2,0.00484959,0.0187752
32,512,2,1,8,2,0.00443328,0.0172016
32,512,2,1,16,2,0.00426074,0.0166173
32,1024,1,0,1,0,0.00732656,0.0199777
32,1024,1,0,2,0,0.00731344,0.0200693
32,1024,1,0,4,0,0.00640372,0.0182078
32,1024,1,0,8,0,0.00599372,0.0171331
32,1024,1,0,16,0,0.005783,0.0168893
32,1024,1,0,16,1,0.00578272,0.0168818
32,1024,1,0,8,1,0.00599387,0.0171342
32,1024,1,0,4,1,0.00639872,0.018195
32,1024,1,0,2,1,0.0073,0.0200701
32,1024,1,0,1,1,0.007296,0.0200003
32,1024,1,0,1,2,0.00730156,0.0199704
32,1024,1,0,2,2,0.00730187,0.0199543
32,1024,1,0,4,2,0.00639913,0.01823
32,1024,1,0,8,2,0.00599387,0.0171522
32,1024,1,0,16,2,0.005784,0.0168872
32,1024,1,1,1,0,0.00731144,0.0286951
32,1024,1,1,2,0,0.00730785,0.0294816
32,1024,1,1,4,0,0.00638041,0.0259182
32,1024,1,1,8,0,0.00599315,0.0244444
32,1024,1,1,16,0,0.00576987,0.023897
32,1024,1,1,16,1,0.00576846,0.0238854
32,1024,1,1,8,1,0.00599085,0.0244314
32,1024,1,1,4,1,0.00640056,0.0259539
32,1024,1,1,2,1,0.00730985,0.0294007
32,1024,1,1,1,1,0.00731559,0.0287394
32,1024,1,1,1,2,0.00732841,0.0287283
32,1024,1,1,2,2,0.00731015,0.0293437
32,1024,1,1,4,2,0.00639982,0.0259164
32,1024,1,1,8,2,0.005996,0.02442
32,1024,1,1,16,2,0.005772,0.0238903
32,1024,2,0,1,0,0.007441,0.0199391
32,1024,2,0,2,0,0.007427,0.0201448
32,1024,2,0,4,0,0.00651141,0.0182683
32,1024,2,0,8,0,0.00612285,0.0173186
32,1024,2,0,16,0,0.00589872,0.0170126
32,1024,2,0,16,1,0.00589728,0.0169963
32,1024,2,0,8,1,0.00612144,0.0173336
32,1024,2,0,4,1,0.00650615,0.0183312
32,1024,2,0,2,1,0.00742215,0.0200852
32,1024,2,0,1,1,0.00745087,0.0199883
32,1024,2,0,1,2,0.00745115,0.0199384
32,1024,2,0,2,2,0.00742244,0.0201443
32,1024,2,0,4,2,0.006514,0.0182987
32,1024,2,0,8,2,0.00612569,0.0173132
32,1024,2,0,16,2,0.00589585,0.0170107
32,1024,2,1,1,0,0.00745772,0.029193
32,1024,2,1,2,0,0.00742044,0.0295703
32,1024,2,1,4,0,0.00650485,0.0264686
32,1024,2,1,8,0,0.00612185,0.0248341
32,1024,2,1,16,0,0.00589769,0.0243608
32,1024,2,1,16,1,0.00589813,0.0243304
32,1024,2,1,8,1,0.00612415,0.0248246
32,1024,2,1,4,1,0.00651041,0.0263632
32,1024,2,1,2,1,0.00743169,0.0296877
32,1024,2,1,1,1,0.00744156,0.029147
32,1024,2,1,1,2,0.00743613,0.029218
32,1024,2,1,2,2,0.00743328,0.0294994
32,1024,2,1,4,2,0.00650985,0.0264643
32,1024,2,1,8,2,0.00611818,0.0248024
32,1024,2,1,16,2,0.00589669,0.0243522
8192,64,1,0,1,0,0.00895174,0.016868
8192,64,1,0,2,0,0.00825928,0.0161973
8192,64,1,0,4,0,0.00824115,0.0162339
8192,64,1,0,8,0,0.00822905,0.0162253
8192,64,1,0,16,0,0.00822456,0.0161656
8192,64,1,0,16,1,0.00822928,0.0162134
8192,64,1,0,8,1,0.00823569,0.0162411
8192,64,1,0,4,1,0.00824787,0.0161949
8192,64,1,0,2,1,0.00825633,0.0162
8192,64,1,0,1,1,0.00895,0.0167777
8192,64,1,0,1,2,0.00895085,0.0168013
8192,64,1,0,2,2,0.00825254,0.0162596
8192,64,1,0,4,2,0.00824451,0.0161718
8192,64,1,0,8,2,0.00823272,0.0162543
8192,64,1,0,16,2,0.00822723,0.0162407
8192,64,1,1,1,0,0.00894659,0.0582402
8192,64,1,1,2,0,0.00824151,0.0415147
8192,64,1,1,4,0,0.00825,0.033587
8192,64,1,1,8,0,0.00824144,0.0303007
8192,64,1,1,16,0,0.00823328,0.0303027
8192,64,1,1,16,1,0.00824582,0.030334
8192,64,1,1,8,1,0.00823185,0.0303356
8192,64,1,1,4,1,0.00824472,0.0335653
8192,64,1,1,2,1,0.00823479,0.0415574
8192,64,1,1,1,1,0.00894682,0.0582172
8192,64,1,1,1,2,0.00894669,0.058342
8192,64,1,1,2,2,0.008252,0.0416439
8192,64,1,1,4,2,0.00828756,0.0338327
8192,64,1,1,8,2,0.00827785,0.0305564
8192,64,1,1,16,2,0.008256,0.0303623
8192,64,2,0,1,0,0.00912056,0.0168712
8192,64,2,0,2,0,0.00852485,0.0163907
8192,64,2,0,4,0,0.0085141,0.0164373
8192,64,2,0,8,0,0.00850574,0.01643
8192,64,2,0,16,0,0.00849885,0.0163847
8192,64,2,0,16,1,0.00849772,0.0163727
8192,64,2,0,8,1,0.0085061,0.0163845
8192,64,2,0,4,1,0.00851154,0.0163633
8192,64,2,0,2,1,0.00852372,0.0163723
8192,64,2,0,1,1,0.00912631,0.0168943
8192,64,2,0,1,2,0.00912,0.016909
8192,64,2,0,2,2,0.00853015,0.0163293
8192,64,2,0,4,2,0.00851485,0.0163964
8192,64,2,0,8,2,0.00850815,0.0163912
8192,64,2,0,16,2,0.00849472,0.0163976
