Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,ascend_prepare,AI_CORE,46,107,15.360,1789889660727345.428	,1789889660727360.789	
0,ascend_cube,AI_CORE,46,108,4.300,1789889660727360.809	,1789889660727365.109	
0,ascend_had,AI_CORE,46,109,6.260,1789889660727365.129	,1789889660727371.389	
0,ascend_max_finish,AI_CORE,46,110,2.880,1789889660727371.409	,1789889660727374.289	
0,ascend_had,AI_CORE,46,111,10.000,1789889660727374.309	,1789889660727384.309	
0,ascend_prepare,AI_CORE,46,112,15.140,1789889660727384.329	,1789889660727399.469	
0,ascend_cube,AI_CORE,46,113,4.300,1789889660727399.489	,1789889660727403.790	
0,ascend_had,AI_CORE,46,114,6.200,1789889660727403.810	,1789889660727410.010	
0,ascend_max_finish,AI_CORE,46,115,3.000,1789889660727410.050	,1789889660727413.050	
0,ascend_had,AI_CORE,46,116,10.100,1789889660727413.070	,1789889660727423.170	
0,N/A,EVENT_RECORD,46,117,0.020,1789889660727450.210	,1789889660727450.230	
0,ascend_prepare,AI_CORE,46,118,15.200,1789889660727452.391	,1789889660727467.591	
0,ascend_cube,AI_CORE,46,119,4.500,1789889660727467.611	,1789889660727472.111	
0,ascend_had,AI_CORE,46,120,6.420,1789889660727472.131	,1789889660727478.551	
0,ascend_max_finish,AI_CORE,46,121,3.020,1789889660727478.591	,1789889660727481.611	
0,ascend_had,AI_CORE,46,122,10.080,1789889660727481.631	,1789889660727491.711	
0,ascend_prepare,AI_CORE,46,123,15.020,1789889660727491.731	,1789889660727506.752	
0,ascend_cube,AI_CORE,46,124,4.680,1789889660727506.772	,1789889660727511.452	
0,ascend_had,AI_CORE,46,125,6.480,1789889660727511.472	,1789889660727517.952	
0,ascend_max_finish,AI_CORE,46,126,2.500,1789889660727517.992	,1789889660727520.492	
0,ascend_had,AI_CORE,46,127,10.060,1789889660727520.512	,1789889660727530.572	
0,N/A,EVENT_RECORD,46,128,0.020,1789889660727530.592	,1789889660727530.612	
0,ascend_prepare,AI_CORE,46,129,15.260,1789889660727697.855	,1789889660727713.116	
0,ascend_cube,AI_CORE,46,130,4.380,1789889660727713.136	,1789889660727717.516	
0,ascend_had,AI_CORE,46,131,8.600,1789889660727717.556	,1789889660727726.156	
0,ascend_max_finish,AI_CORE,46,132,3.180,1789889660727726.196	,1789889660727729.376	
0,ascend_quant,AI_CORE,46,133,9.040,1789889660727729.396	,1789889660727738.436	
0,ascend_prepare,AI_CORE,46,134,15.220,1789889660727738.456	,1789889660727753.677	
0,ascend_cube,AI_CORE,46,135,4.320,1789889660727753.697	,1789889660727758.017	
