Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,ascend_quant,AI_CORE,10,1345.627,133.523,134.563,142.043,71.855
0,ascend_dequant,AI_CORE,10,527.071,51.881,52.707,59.301,28.145
