Device_id,OP Type,Core Type,Count,Total Time(us),Min Time(us),Avg Time(us),Max Time(us),Ratio(%)
0,ascend_quant,AI_CORE,10,58.801,4.6,5.88,8.24,62.553
0,ascend_dequant,AI_CORE,10,35.201,2.88,3.52,4.04,37.447
