Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,ascend_prepare,AI_CORE,46,107,31.560,1789889655639442.648	,1789889655639474.208	
0,ascend_cube,AI_CORE,46,108,17.580,1789889655639474.228	,1789889655639491.809	
0,ascend_had,AI_CORE,46,109,47.401,1789889655639491.849	,1789889655639539.250	
0,ascend_max_finish,AI_CORE,46,110,3.900,1789889655639539.270	,1789889655639543.170	
0,ascend_had,AI_CORE,46,111,98.102,1789889655639543.190	,1789889655639641.292	
0,ascend_prepare,AI_CORE,46,112,31.120,1789889655639641.312	,1789889655639672.432	
0,ascend_cube,AI_CORE,46,113,17.480,1789889655639672.452	,1789889655639689.933	
0,ascend_had,AI_CORE,46,114,47.061,1789889655639689.953	,1789889655639737.014	
0,ascend_max_finish,AI_CORE,46,115,4.260,1789889655639737.034	,1789889655639741.294	
0,ascend_had,AI_CORE,46,116,98.162,1789889655639741.314	,1789889655639839.476	
0,N/A,EVENT_RECORD,46,117,0.020,1789889655639866.796	,1789889655639866.816	
0,ascend_prepare,AI_CORE,46,118,31.200,1789889655639868.256	,1789889655639899.457	
0,ascend_cube,AI_CORE,46,119,17.780,1789889655639899.477	,1789889655639917.257	
0,ascend_had,AI_CORE,46,120,47.081,1789889655639917.277	,1789889655639964.358	
0,ascend_max_finish,AI_CORE,46,121,3.800,1789889655639964.378	,1789889655639968.178	
0,ascend_had,AI_CORE,46,122,98.022,1789889655639968.198	,1789889655640066.220	
0,ascend_prepare,AI_CORE,46,123,31.140,1789889655640066.240	,1789889655640097.381	
0,ascend_cube,AI_CORE,46,124,17.700,1789889655640097.401	,1789889655640115.101	
0,ascend_had,AI_CORE,46,125,47.321,1789889655640115.121	,1789889655640162.442	
0,ascend_max_finish,AI_CORE,46,126,4.200,1789889655640162.462	,1789889655640166.662	
0,ascend_had,AI_CORE,46,127,97.522,1789889655640166.682	,1789889655640264.204	
0,N/A,EVENT_RECORD,46,128,0.020,1789889655640264.224	,1789889655640264.244	
0,ascend_prepare,AI_CORE,46,129,31.080,1789889655640472.128	,1789889655640503.209	
0,ascend_cube,AI_CORE,46,130,17.680,1789889655640503.229	,1789889655640520.909	
0,ascend_had,AI_CORE,46,131,55.701,1789889655640520.949	,1789889655640576.650	
0,ascend_max_finish,AI_CORE,46,132,4.100,1789889655640576.670	,1789889655640580.771	
0,ascend_quant,AI_CORE,46,133,79.801,1789889655640580.791	,1789889655640660.592	
0,ascend_prepare,AI_CORE,46,134,31.820,1789889655640660.632	,1789889655640692.453	
0,ascend_cube,AI_CORE,46,135,17.740,1789889655640692.493	,1789889655640710.233	
0,ascend_had,AI_CORE,46,136,53.101,1789889655640710.253	,1789889655640763.354	
0,ascend_max_finish,AI_CORE,46,137,4.100,1789889655640763.374	,1789889655640767.474	
0,ascend_quant,AI_CORE,46,138,78.601,1789889655640767.514	,1789889655640846.116	
0,ascend_prepare,AI_CORE,46,139,31.080,1789889655640846.136	,1789889655640877.216	
0,ascend_cube,AI_CORE,46,140,17.480,1789889655640877.236	,1789889655640894.717	
0,ascend_had,AI_CORE,46,141,52.121,1789889655640894.737	,1789889655640946.858	
0,ascend_max_finish,AI_CORE,46,142,3.880,1789889655640946.878	,1789889655640950.758	
0,ascend_quant,AI_CORE,46,143,78.841,1789889655640950.778	,1789889655641029.619	
0,N/A,EVENT_RECORD,46,144,0.020,1789889655641065.340	,1789889655641065.360	
0,ascend_prepare,AI_CORE,46,145,31.020,1789889655641066.500	,1789889655641097.521	
0,ascend_cube,AI_CORE,46,146,17.600,1789889655641097.561	,1789889655641115.161	
0,ascend_had,AI_CORE,46,147,52.081,1789889655641115.201	,1789889655641167.282	
0,ascend_max_finish,AI_CORE,46,148,4.260,1789889655641167.302	,1789889655641171.562	
0,ascend_quant,AI_CORE,46,149,78.541,1789889655641171.582	,1789889655641250.124	
0,ascend_prepare,AI_CORE,46,150,31.780,1789889655641250.164	,1789889655641281.945	
0,ascend_cube,AI_CORE,46,151,17.720,1789889655641281.965	,1789889655641299.685	
0,ascend_had,AI_CORE,46,152,52.461,1789889655641299.725	,1789889655641352.186	
0,ascend_max_finish,AI_CORE,46,153,4.220,1789889655641352.206	,1789889655641356.426	
0,ascend_quant,AI_CORE,46,154,78.421,1789889655641356.446	,1789889655641434.868	
0,N/A,EVENT_RECORD,46,155,0.020,1789889655641434.888	,1789889655641434.908	
0,N/A,PROFILING_DISABLE,49,4,0.000,1789889655642882.136	,1789889655642882.136	
0,N/A,PLACE_HOLDER_SQE,49,5,0.020,1789889655642940.698	,1789889655642940.718	
