rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
32,128,2,1,8,32,0,0.0126298,0.339816
32,128,2,1,16,32,0,0.0127028,0.350247
32,128,2,1,16,32,1,0.0127902,0.350382
32,128,2,1,8,32,1,0.0124407,0.339828
32,128,2,1,4,32,1,0.0124529,0.33612
32,128,2,1,2,32,1,0.0124076,0.325846
32,128,2,1,1,32,1,0.0124962,0.322135
32,128,2,1,1,32,2,0.0124981,0.32211
32,128,2,1,2,32,2,0.012525,0.325684
32,128,2,1,4,32,2,0.0124544,0.336173
32,128,2,1,8,32,2,0.0125403,0.339567
32,128,2,1,16,32,2,0.012706,0.350384
32,256,1,0,1,32,0,0.0177897,0.040981
32,256,1,0,2,32,0,0.0180174,0.0415208
32,256,1,0,4,32,0,0.0181314,0.0421489
32,256,1,0,8,32,0,0.0180657,0.0421539
32,256,1,0,16,32,0,0.0183035,0.0419765
32,256,1,0,16,32,1,0.0183066,0.0419767
32,256,1,0,8,32,1,0.0180507,0.0421332
32,256,1,0,4,32,1,0.0181292,0.0421524
32,256,1,0,2,32,1,0.0179089,0.0415147
32,256,1,0,1,32,1,0.0177906,0.0409847
32,256,1,0,1,32,2,0.017799,0.0409865
32,256,1,0,2,32,2,0.0180078,0.0415006
32,256,1,0,4,32,2,0.0181298,0.0421481
32,256,1,0,8,32,2,0.0180536,0.0421285
32,256,1,0,16,32,2,0.0183002,0.0419707
32,256,1,1,1,32,0,0.0177845,0.53884
32,256,1,1,2,32,0,0.0179287,0.547822
32,256,1,1,4,32,0,0.0182866,0.568858
32,256,1,1,8,32,0,0.0180247,0.572467
32,256,1,1,16,32,0,0.0182338,0.593305
32,256,1,1,16,32,1,0.0182354,0.593596
32,256,1,1,8,32,1,0.0181339,0.572755
32,256,1,1,4,32,1,0.0182814,0.569105
32,256,1,1,2,32,1,0.0179282,0.548095
32,256,1,1,1,32,1,0.0176744,0.538679
32,256,1,1,1,32,2,0.0177794,0.53801
32,256,1,1,2,32,2,0.0179294,0.546906
32,256,1,1,4,32,2,0.018286,0.568127
32,256,1,1,8,32,2,0.0181458,0.571759
32,256,1,1,16,32,2,0.0181335,0.592561
32,256,2,0,1,32,0,0.0210174,0.0434091
32,256,2,0,2,32,0,0.021571,0.0444264
32,256,2,0,4,32,0,0.0217274,0.0449742
32,256,2,0,8,32,0,0.0216451,0.0450947
32,256,2,0,16,32,0,0.0221525,0.0448611
32,256,2,0,16,32,1,0.0220459,0.044862
32,256,2,0,8,32,1,0.0216358,0.0450967
32,256,2,0,4,32,1,0.0217248,0.0449749
32,256,2,0,2,32,1,0.0215717,0.0444189
32,256,2,0,1,32,1,0.0210141,0.043401
32,256,2,0,1,32,2,0.0210173,0.0434094
32,256,2,0,2,32,2,0.0215723,0.0444206
32,256,2,0,4,32,2,0.0217274,0.0449705
32,256,2,0,8,32,2,0.0217413,0.0451057
32,256,2,0,16,32,2,0.0220434,0.0448538
32,256,2,1,1,32,0,0.0209652,0.543803
32,256,2,1,2,32,0,0.0214674,0.551634
32,256,2,1,4,32,0,0.0218754,0.572317
32,256,2,1,8,32,0,0.0217303,0.576128
32,256,2,1,16,32,0,0.022108,0.59768
32,256,2,1,16,32,1,0.0220011,0.597234
32,256,2,1,8,32,1,0.0217422,0.576872
32,256,2,1,4,32,1,0.0218888,0.572767
32,256,2,1,2,32,1,0.021474,0.552117
32,256,2,1,1,32,1,0.0209614,0.543565
32,256,2,1,1,32,2,0.0209588,0.543602
32,256,2,1,2,32,2,0.0214821,0.55217
32,256,2,1,4,32,2,0.021881,0.573261
32,256,2,1,8,32,2,0.0217324,0.577213
32,256,2,1,16,32,2,0.0221103,0.597646
32,512,1,0,1,32,0,0.0352,0.0808229
32,512,1,0,2,32,0,0.0355035,0.0807832
32,512,1,0,4,32,0,0.0358318,0.0821608
32,512,1,0,8,32,0,0.0357606,0.0822593
32,512,1,0,16,32,0,0.0361646,0.0822175
32,512,1,0,16,32,1,0.0361542,0.0822121
32,512,1,0,8,32,1,0.0357566,0.082259
32,512,1,0,4,32,1,0.0358313,0.0821588
32,512,1,0,2,32,1,0.0354398,0.0807293
32,512,1,0,1,32,1,0.0352021,0.0807994
32,512,1,0,1,32,2,0.0351928,0.0808136
32,512,1,0,2,32,2,0.0353449,0.0807336
32,512,1,0,4,32,2,0.0358374,0.0821653
32,512,1,0,8,32,2,0.0357638,0.0822612
32,512,1,0,16,32,2,0.0361611,0.0822264
32,512,1,1,1,32,0,0.035077,0.972151
32,512,1,1,2,32,0,0.0350808,0.985995
32,512,1,1,4,32,0,0.0359426,1.02481
32,512,1,1,8,32,0,0.0359563,1.02806
32,512,1,1,16,32,0,0.036007,1.07047
32,512,1,1,16,32,1,0.0359634,1.07074
32,512,1,1,8,32,1,0.0359397,1.02808
32,512,1,1,4,32,1,0.0359461,1.02379
32,512,1,1,2,32,1,0.0351788,0.985391
32,512,1,1,1,32,1,0.0350752,0.971865
32,512,1,1,1,32,2,0.0350737,0.971325
32,512,1,1,2,32,2,0.0351739,0.984852
32,512,1,1,4,32,2,0.0359486,1.02375
32,512,1,1,8,32,2,0.0359512,1.02813
32,512,1,1,16,32,2,0.0359726,1.07079
32,512,2,0,1,32,0,0.0376603,0.0819944
32,512,2,0,2,32,0,0.0375217,0.0817483
32,512,2,0,4,32,0,0.0379037,0.0833272
32,512,2,0,8,32,0,0.0378635,0.083324
32,512,2,0,16,32,0,0.0383093,0.0833941
32,512,2,0,16,32,1,0.0382124,0.083394
32,512,2,0,8,32,1,0.037863,0.0833198
32,512,2,0,4,32,1,0.0379042,0.0833341
32,512,2,0,2,32,1,0.0375497,0.0817455
32,512,2,0,1,32,1,0.037653,0.0819866
32,512,2,0,1,32,2,0.0376546,0.0819913
32,512,2,0,2,32,2,0.0375395,0.0817417
32,512,2,0,4,32,2,0.0378991,0.0833356
32,512,2,0,8,32,2,0.0377609,0.0833193
32,512,2,0,16,32,2,0.0383186,0.0833911
32,512,2,1,1,32,0,0.0375276,0.976483
32,512,2,1,2,32,0,0.0372725,0.989147
32,512,2,1,4,32,0,0.0379939,1.02847
32,512,2,1,8,32,0,0.0381184,1.03252
32,512,2,1,16,32,0,0.0380512,1.07483
32,512,2,1,16,32,1,0.0380599,1.07465
32,512,2,1,8,32,1,0.0380221,1.03242
32,512,2,1,4,32,1,0.038002,1.02818
32,512,2,1,2,32,1,0.0372664,0.989511
32,512,2,1,1,32,1,0.0375435,0.97634
32,512,2,1,1,32,2,0.0375549,0.976302
32,512,2,1,2,32,2,0.0372753,0.988651
32,512,2,1,4,32,2,0.037993,1.02848
32,512,2,1,8,32,2,0.038137,1.03271
32,512,2,1,16,32,2,0.0381577,1.07545
32,1024,1,0,1,32,0,0.0662104,0.156126
32,1024,1,0,2,32,0,0.0652212,0.15938
32,1024,1,0,4,32,0,0.0665335,0.162565
32,1024,1,0,8,32,0,0.0664975,0.162684
32,1024,1,0,16,32,0,0.0668663,0.163222
32,1024,1,0,16,32,1,0.0668506,0.163222
32,1024,1,0,8,32,1,0.0665964,0.162692
32,1024,1,0,4,32,1,0.0665248,0.162574
32,1024,1,0,2,32,1,0.0651154,0.159363
32,1024,1,0,1,32,1,0.0661019,0.156123
32,1024,1,0,1,32,2,0.0662056,0.156127
32,1024,1,0,2,32,2,0.0652293,0.159363
32,1024,1,0,4,32,2,0.0664094,0.162559
32,1024,1,0,8,32,2,0.0666019,0.16269
32,1024,1,0,16,32,2,0.0668657,0.163223
32,1024,1,1,1,32,0,0.0661847,1.84261
32,1024,1,1,2,32,0,0.0651552,1.87045
32,1024,1,1,4,32,0,0.066252,1.94798
32,1024,1,1,8,32,0,0.0664384,1.95875
32,1024,1,1,16,32,0,0.0669441,2.03793
32,1024,1,1,16,32,1,0.0669541,2.03721
32,1024,1,1,8,32,1,0.0664373,1.95881
32,1024,1,1,4,32,1,0.0662505,1.94779
32,1024,1,1,2,32,1,0.0651605,1.87063
32,1024,1,1,1,32,1,0.0661833,1.84272
32,1024,1,1,1,32,2,0.0661879,1.84282
32,1024,1,1,2,32,2,0.0651622,1.8704
32,1024,1,1,4,32,2,0.0662688,1.94829
