rows,dim,dtype,format,warps,trial,had_ms,fused_ms
32,512,1,1,2,0,0.0187461,0.230633
32,512,1,1,4,0,0.0184811,0.231037
32,512,1,1,4,1,0.0184862,0.23114
32,512,1,1,2,1,0.0189169,0.230609
32,512,1,1,1,1,0.0186921,0.230705
32,512,1,1,1,2,0.018898,0.230648
32,512,1,1,2,2,0.0188027,0.229778
32,512,1,1,4,2,0.0184965,0.23065
32,512,2,0,1,0,0.0240168,0.0717342
32,512,2,0,2,0,0.0239246,0.0734438
32,512,2,0,4,0,0.0238882,0.073257
32,512,2,0,4,1,0.023888,0.073234
32,512,2,0,2,1,0.0240512,0.0734548
32,512,2,0,1,1,0.0240413,0.0717378
32,512,2,0,1,2,0.0240437,0.0717391
32,512,2,0,2,2,0.0240478,0.0734469
32,512,2,0,4,2,0.0238912,0.0732462
32,512,2,1,1,0,0.0241513,0.2347
32,512,2,1,2,0,0.0241128,0.234769
32,512,2,1,4,0,0.0238577,0.234961
32,512,2,1,4,1,0.0238715,0.234435
32,512,2,1,2,1,0.0241236,0.235315
32,512,2,1,1,1,0.0241451,0.234374
32,512,2,1,1,2,0.0241621,0.235241
32,512,2,1,2,2,0.0241178,0.234386
32,512,2,1,4,2,0.0238743,0.235176
32,1024,1,0,1,0,0.0315531,0.136351
32,1024,1,0,2,0,0.0318755,0.133969
32,1024,1,0,4,0,0.0317071,0.134113
32,1024,1,0,4,1,0.031725,0.134104
32,1024,1,0,2,1,0.0318676,0.133837
32,1024,1,0,1,1,0.0315535,0.136359
32,1024,1,0,1,2,0.0315538,0.136342
32,1024,1,0,2,2,0.0318618,0.133957
32,1024,1,0,4,2,0.031712,0.134108
32,1024,1,1,1,0,0.0315081,0.364346
32,1024,1,1,2,0,0.0318255,0.361428
32,1024,1,1,4,0,0.0317474,0.36356
32,1024,1,1,4,1,0.031757,0.363281
32,1024,1,1,2,1,0.0318153,0.361532
32,1024,1,1,1,1,0.0315058,0.363681
32,1024,1,1,1,2,0.0315197,0.36442
32,1024,1,1,2,2,0.0318242,0.36167
32,1024,1,1,4,2,0.0317571,0.363044
32,1024,2,0,1,0,0.0404788,0.139816
32,1024,2,0,2,0,0.0407267,0.13694
32,1024,2,0,4,0,0.0408023,0.137479
32,1024,2,0,4,1,0.0408027,0.137471
32,1024,2,0,2,1,0.0407139,0.136932
32,1024,2,0,1,1,0.0404805,0.13982
32,1024,2,0,1,2,0.0404763,0.139813
32,1024,2,0,2,2,0.0407294,0.13693
32,1024,2,0,4,2,0.0407956,0.137464
32,1024,2,1,1,0,0.0403329,0.37133
32,1024,2,1,2,0,0.0407682,0.371817
32,1024,2,1,4,0,0.0407362,0.371008
32,1024,2,1,4,1,0.0407281,0.370811
32,1024,2,1,2,1,0.0407733,0.371188
32,1024,2,1,1,1,0.0403229,0.371177
32,1024,2,1,1,2,0.0403343,0.370994
32,1024,2,1,2,2,0.0407634,0.371235
32,1024,2,1,4,2,0.040727,0.370862
8192,64,1,0,1,0,0.0230859,0.0707549
8192,64,1,0,2,0,0.0224183,0.0705932
8192,64,1,0,4,0,0.0204113,0.0610962
8192,64,1,0,4,1,0.0201873,0.0611042
8192,64,1,0,2,1,0.0224433,0.0705844
8192,64,1,0,1,1,0.0230726,0.0707624
8192,64,1,0,1,2,0.0231197,0.0707569
8192,64,1,0,2,2,0.0224018,0.0705803
8192,64,1,0,4,2,0.0202059,0.0611043
8192,64,1,1,1,0,0.023122,0.356121
8192,64,1,1,2,0,0.0224805,0.344838
8192,64,1,1,4,0,0.0202261,0.351939
8192,64,1,1,4,1,0.0202385,0.35123
8192,64,1,1,2,1,0.0223511,0.344878
8192,64,1,1,1,1,0.0231055,0.356042
8192,64,1,1,1,2,0.023123,0.356195
8192,64,1,1,2,2,0.0223927,0.344514
8192,64,1,1,4,2,0.0202357,0.349489
8192,64,2,0,1,0,0.0295977,0.0742517
8192,64,2,0,2,0,0.028661,0.0717268
8192,64,2,0,4,0,0.0261493,0.0624728
8192,64,2,0,4,1,0.0261443,0.0624789
8192,64,2,0,2,1,0.0286546,0.0716355
8192,64,2,0,1,1,0.0295957,0.0742374
8192,64,2,0,1,2,0.029717,0.0742412
8192,64,2,0,2,2,0.0286776,0.0718683
8192,64,2,0,4,2,0.0261233,0.0624712
8192,64,2,1,1,0,0.0297231,0.382354
8192,64,2,1,2,0,0.0286741,0.367257
8192,64,2,1,4,0,0.0260901,0.368021
8192,64,2,1,4,1,0.0261329,0.368317
8192,64,2,1,2,1,0.0287482,0.367063
8192,64,2,1,1,1,0.0296154,0.380701
8192,64,2,1,1,2,0.0297178,0.380707
8192,64,2,1,2,2,0.0286613,0.367229
8192,64,2,1,4,2,0.0261189,0.36807
8192,128,1,0,1,0,0.0346688,0.104458
8192,128,1,0,2,0,0.0341134,0.103253
8192,128,1,0,4,0,0.0336204,0.103685
8192,128,1,0,4,1,0.0336672,0.103668
8192,128,1,0,2,1,0.0340117,0.10325
8192,128,1,0,1,1,0.0347081,0.1045
