rows,dim,dtype,format,warps,lanes,trial,had_ms,fused_ms
32,512,1,0,2,32,0,0.0353521,0.0948861
32,512,1,0,4,32,0,0.0357597,0.0966964
32,512,1,0,4,32,1,0.0358466,0.0965947
32,512,1,0,2,32,1,0.0353039,0.0949178
32,512,1,0,1,32,1,0.0350011,0.0947122
32,512,1,0,1,32,2,0.0349908,0.0947104
32,512,1,0,2,32,2,0.035314,0.0948396
32,512,1,0,4,32,2,0.0358394,0.096576
32,512,1,1,1,32,0,0.0351418,0.291722
32,512,1,1,2,32,0,0.0353777,0.294984
32,512,1,1,4,32,0,0.0357699,0.297173
32,512,1,1,4,32,1,0.0358715,0.297788
32,512,1,1,2,32,1,0.0353827,0.294086
32,512,1,1,1,32,1,0.0351409,0.292027
32,512,1,1,1,32,2,0.0351349,0.29182
32,512,1,1,2,32,2,0.0353829,0.294001
32,512,1,1,4,32,2,0.0358776,0.297676
32,512,2,0,1,32,0,0.0373894,0.0957947
32,512,2,0,2,32,0,0.0374033,0.0961451
32,512,2,0,4,32,0,0.0379733,0.09787
32,512,2,0,4,32,1,0.0379962,0.0978662
32,512,2,0,2,32,1,0.0373024,0.0961469
32,512,2,0,1,32,1,0.0374906,0.0957851
32,512,2,0,1,32,2,0.0375191,0.0956802
32,512,2,0,2,32,2,0.0374069,0.0960373
32,512,2,0,4,32,2,0.0379857,0.0978607
32,512,2,1,1,32,0,0.0375209,0.303535
32,512,2,1,2,32,0,0.0374763,0.305526
32,512,2,1,4,32,0,0.0379621,0.308697
32,512,2,1,4,32,1,0.0379616,0.308974
32,512,2,1,2,32,1,0.0374766,0.305834
32,512,2,1,1,32,1,0.0376297,0.304016
32,512,2,1,1,32,2,0.0376293,0.303691
32,512,2,1,2,32,2,0.0373725,0.305586
32,512,2,1,4,32,2,0.0379666,0.309282
32,1024,1,0,1,32,0,0.0660899,0.186037
32,1024,1,0,2,32,0,0.065396,0.186684
32,1024,1,0,4,32,0,0.0665307,0.190125
32,1024,1,0,4,32,1,0.0664224,0.190112
32,1024,1,0,2,32,1,0.0652713,0.186666
32,1024,1,0,1,32,1,0.0661006,0.186035
32,1024,1,0,1,32,2,0.0662002,0.186029
32,1024,1,0,2,32,2,0.0654039,0.186664
32,1024,1,0,4,32,2,0.0664151,0.19011
32,1024,1,1,1,32,0,0.0662821,0.502095
32,1024,1,1,2,32,0,0.0649868,0.502402
32,1024,1,1,4,32,0,0.0665132,0.501619
32,1024,1,1,4,32,1,0.0665144,0.501752
32,1024,1,1,2,32,1,0.0651369,0.493882
32,1024,1,1,1,32,1,0.0662834,0.493408
32,1024,1,1,1,32,2,0.0661748,0.493311
32,1024,1,1,2,32,2,0.0651331,0.49392
32,1024,1,1,4,32,2,0.0665114,0.50196
32,1024,2,0,1,32,0,0.0703008,0.188193
32,1024,2,0,2,32,0,0.0717893,0.188101
32,1024,2,0,4,32,0,0.0728724,0.191797
32,1024,2,0,4,32,1,0.0729841,0.191786
32,1024,2,0,2,32,1,0.0716929,0.188104
32,1024,2,0,1,32,1,0.0702993,0.188196
32,1024,2,0,1,32,2,0.0703142,0.188183
32,1024,2,0,2,32,2,0.0716748,0.188112
32,1024,2,0,4,32,2,0.0729859,0.191812
32,1024,2,1,1,32,0,0.0703319,0.500055
32,1024,2,1,2,32,0,0.0716143,0.502231
32,1024,2,1,4,32,0,0.0729699,0.510182
32,1024,2,1,4,32,1,0.0729701,0.5111
32,1024,2,1,2,32,1,0.071607,0.510963
32,1024,2,1,1,32,1,0.0704349,0.508961
32,1024,2,1,1,32,2,0.0704363,0.509168
32,1024,2,1,2,32,2,0.0714976,0.510951
32,1024,2,1,4,32,2,0.0728672,0.519227
8192,64,1,0,1,32,0,0.0258569,0.0591714
8192,64,1,0,2,32,0,0.0174729,0.0396667
8192,64,1,0,4,32,0,0.0152341,0.0302555
8192,64,1,0,4,32,1,0.0140247,0.0302612
8192,64,1,0,2,32,1,0.0176969,0.0396827
8192,64,1,0,1,32,1,0.0258587,0.059044
8192,64,1,0,1,32,2,0.0257637,0.059052
8192,64,1,0,2,32,2,0.0178336,0.0396608
8192,64,1,0,4,32,2,0.0139017,0.0302426
8192,64,1,1,1,32,0,0.0258715,0.44305
8192,64,1,1,2,32,0,0.0175342,0.293279
8192,64,1,1,4,32,0,0.0147232,0.228164
8192,64,1,1,4,32,1,0.0139614,0.227976
8192,64,1,1,2,32,1,0.0175633,0.293342
8192,64,1,1,1,32,1,0.0258661,0.442106
8192,64,1,1,1,32,2,0.0258491,0.433914
8192,64,1,1,2,32,2,0.0175151,0.285139
8192,64,1,1,4,32,2,0.0139447,0.219058
8192,64,2,0,1,32,0,0.0296424,0.0607855
8192,64,2,0,2,32,0,0.0202907,0.0412148
8192,64,2,0,4,32,0,0.0160861,0.0315922
8192,64,2,0,4,32,1,0.0162136,0.0314568
8192,64,2,0,2,32,1,0.0202819,0.0412114
8192,64,2,0,1,32,1,0.0296274,0.0607787
8192,64,2,0,1,32,2,0.0296472,0.0608835
8192,64,2,0,2,32,2,0.020398,0.0412076
8192,64,2,0,4,32,2,0.0161932,0.0314502
8192,64,2,1,1,32,0,0.0296219,0.448444
8192,64,2,1,2,32,0,0.0203166,0.294925
8192,64,2,1,4,32,0,0.0161614,0.228639
8192,64,2,1,4,32,1,0.0160488,0.228588
8192,64,2,1,2,32,1,0.020316,0.295539
8192,64,2,1,1,32,1,0.0296197,0.448789
8192,64,2,1,1,32,2,0.0296288,0.448706
8192,64,2,1,2,32,2,0.0203237,0.29536
8192,64,2,1,4,32,2,0.0162072,0.228424
8192,128,1,0,1,32,0,0.0410246,0.107725
8192,128,1,0,2,32,0,0.0283368,0.0698257
8192,128,1,0,4,32,0,0.0223653,0.0525506
8192,128,1,0,4,32,1,0.0223683,0.0526604
8192,128,1,0,2,32,1,0.0283314,0.0699323
8192,128,1,0,1,32,1,0.0410368,0.107701
8192,128,1,0,1,32,2,0.0410385,0.107618
8192,128,1,0,2,32,2,0.0283343,0.069829
8192,128,1,0,4,32,2,0.0223712,0.0526648
8192,128,1,1,1,32,0,0.0413141,0.655883
8192,128,1,1,2,32,0,0.0283387,0.414592
8192,128,1,1,4,32,0,0.0224148,0.293914
8192,128,1,1,4,32,1,0.0224332,0.293704
8192,128,1,1,2,32,1,0.0283034,0.414503
8192,128,1,1,1,32,1,0.0411191,0.653221
8192,128,1,1,1,32,2,0.0412186,0.653266
8192,128,1,1,2,32,2,0.0282941,0.414303
8192,128,1,1,4,32,2,0.0224155,0.293705
8192,128,2,0,1,32,0,0.0492088,0.112107
8192,128,2,0,2,32,0,0.0333563,0.0734466
8192,128,2,0,4,32,0,0.0262912,0.05573
8192,128,2,0,4,32,1,0.0262002,0.0557457
8192,128,2,0,2,32,1,0.0332661,0.0734661
8192,128,2,0,1,32,1,0.0490898,0.112089
8192,128,2,0,1,32,2,0.0490877,0.111963
8192,128,2,0,2,32,2,0.0332852,0.0733134
8192,128,2,0,4,32,2,0.0262078,0.0556302
8192,128,2,1,1,32,0,0.049269,0.695333
8192,128,2,1,2,32,0,0.0332431,0.447312
8192,128,2,1,4,32,0,0.0262514,0.320641
8192,128,2,1,4,32,1,0.0263523,0.320402
8192,128,2,1,2,32,1,0.0332689,0.446389
8192,128,2,1,1,32,1,0.0491791,0.692905
8192,128,2,1,1,32,2,0.0491726,0.692821
8192,128,2,1,2,32,2,0.0331372,0.446499
8192,128,2,1,4,32,2,0.0262464,0.320688
8192,256,1,0,1,32,0,0.0796125,0.206128
8192,256,1,0,2,32,0,0.0523643,0.132635
8192,256,1,0,4,32,0,0.0401589,0.100176
8192,256,1,0,4,32,1,0.0400626,0.100156
8192,256,1,0,2,32,1,0.0523773,0.132766
8192,256,1,0,1,32,1,0.0794511,0.206108
8192,256,1,0,1,32,2,0.079429,0.205979
8192,256,1,0,2,32,2,0.0523311,0.132621
8192,256,1,0,4,32,2,0.0400751,0.100064
8192,256,1,1,1,32,0,0.0796152,1.22479
8192,256,1,1,2,32,0,0.0524113,0.728239
8192,256,1,1,4,32,0,0.0401292,0.492348
8192,256,1,1,4,32,1,0.040195,0.494617
8192,256,1,1,2,32,1,0.0524015,0.728022
8192,256,1,1,1,32,1,0.079492,1.2224
8192,256,1,1,1,32,2,0.0795174,1.2219
8192,256,1,1,2,32,2,0.0523913,0.726849
8192,256,1,1,4,32,2,0.0400541,0.487661
8192,256,2,0,1,32,0,0.0986843,0.215103
8192,256,2,0,2,32,0,0.0659339,0.139752
8192,256,2,0,4,32,0,0.0499837,0.105815
8192,256,2,0,4,32,1,0.0498696,0.10585
8192,256,2,0,2,32,1,0.0658179,0.139632
8192,256,2,0,1,32,1,0.0987147,0.215122
8192,256,2,0,1,32,2,0.0985521,0.21513
8192,256,2,0,2,32,2,0.0659275,0.139793
8192,256,2,0,4,32,2,0.0498619,0.105824
8192,256,2,1,1,32,0,0.098221,1.29659
8192,256,2,1,2,32,0,0.0651406,0.782895
8192,256,2,1,4,32,0,0.0494423,0.520378
8192,256,2,1,4,32,1,0.0494185,0.518676
8192,256,2,1,2,32,1,0.0652399,0.783123
8192,256,2,1,1,32,1,0.0981224,1.29396
8192,256,2,1,1,32,2,0.0980997,1.28814
8192,256,2,1,2,32,2,0.0651249,0.775012
8192,256,2,1,4,32,2,0.0494211,0.511309
8192,512,1,0,1,32,0,0.162615,0.478265
8192,512,1,0,2,32,0,0.10656,0.32651
8192,512,1,0,4,32,0,0.0813858,0.247674
8192,512,1,0,4,32,1,0.0812896,0.247677
8192,512,1,0,2,32,1,0.106445,0.326413
8192,512,1,0,1,32,1,0.162383,0.478167
8192,512,1,0,1,32,2,0.162482,0.47827
8192,512,1,0,2,32,2,0.106519,0.3263
8192,512,1,0,4,32,2,0.0812814,0.247509
