rows,dtype,format,vector,threads,trial,kernel_ms
1024,0,1,8,128,0,0.0749982
1024,0,1,2,256,0,0.0806237
1024,0,1,4,256,0,0.0699651
1024,0,1,8,256,0,0.0745899
1024,0,1,2,512,0,0.0809977
1024,0,1,4,512,0,0.0695647
1024,0,1,8,512,0,0.0747168
1024,0,1,1,256,1,0.102013
1024,0,1,2,512,1,0.0808768
1024,0,1,4,512,1,0.0695606
1024,0,1,8,512,1,0.0746991
1024,0,1,2,256,1,0.0805887
1024,0,1,4,256,1,0.0699761
1024,0,1,8,256,1,0.0746265
1024,0,1,2,128,1,0.0808712
1024,0,1,4,128,1,0.0696269
1024,0,1,8,128,1,0.0750531
1024,0,1,1,256,2,0.102037
1024,0,1,2,128,2,0.0808319
1024,0,1,4,128,2,0.0696315
1024,0,1,8,128,2,0.0751315
1024,0,1,2,256,2,0.0806034
1024,0,1,4,256,2,0.0699947
1024,0,1,8,256,2,0.0746159
1024,0,1,2,512,2,0.0809536
1024,0,1,4,512,2,0.0694859
1024,0,1,8,512,2,0.0746901
1024,1,0,1,256,0,0.0395058
1024,1,0,2,128,0,0.0300318
1024,1,0,4,128,0,0.0295586
1024,1,0,8,128,0,0.0366778
1024,1,0,2,256,0,0.0303349
1024,1,0,4,256,0,0.0298194
1024,1,0,8,256,0,0.0341159
1024,1,0,2,512,0,0.0291506
1024,1,0,4,512,0,0.0269327
1024,1,0,8,512,0,0.0299385
1024,1,0,1,256,1,0.0394229
1024,1,0,2,512,1,0.0292566
1024,1,0,4,512,1,0.0269091
1024,1,0,8,512,1,0.0299547
1024,1,0,2,256,1,0.0303334
1024,1,0,4,256,1,0.0298099
1024,1,0,8,256,1,0.0342334
1024,1,0,2,128,1,0.0300321
1024,1,0,4,128,1,0.0295421
1024,1,0,8,128,1,0.0366763
1024,1,0,1,256,2,0.0394334
1024,1,0,2,128,2,0.0300279
1024,1,0,4,128,2,0.0295487
1024,1,0,8,128,2,0.0366968
1024,1,0,2,256,2,0.030316
1024,1,0,4,256,2,0.0298095
1024,1,0,8,256,2,0.0332217
1024,1,0,2,512,2,0.0292517
1024,1,0,4,512,2,0.0269322
1024,1,0,8,512,2,0.0299411
1024,1,1,1,256,0,0.10173
1024,1,1,2,128,0,0.0809512
1024,1,1,4,128,0,0.0676707
1024,1,1,8,128,0,0.0743694
1024,1,1,2,256,0,0.0809677
1024,1,1,4,256,0,0.067965
1024,1,1,8,256,0,0.0737824
1024,1,1,2,512,0,0.0808665
1024,1,1,4,512,0,0.0677294
1024,1,1,8,512,0,0.0738826
